CURRENT DATASET: car
DATA TYPE: classification


FULL DATASET: 
['vhigh', 'vhigh', 2.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 4.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'vhigh', 5.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'high', 2.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'high', 2.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'high', 2.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'high', 3.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'high', 3.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'high', 3.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'high', 4.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'high', 4.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'high', 4.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'high', 5.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'small', 'high', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'med', 'high', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'big', 'med', 'unacc']
['vhigh', 'high', 5.0, 4.0, 'big', 'high', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'med', 'high', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'big', 'med', 'unacc']
['vhigh', 'high', 5.0, 5.0, 'big', 'high', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'med', 2.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'med', 2.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'med', 2.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'med', 2.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'med', 2.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'med', 2.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'med', 2.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'med', 2.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'med', 2.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'med', 3.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'med', 3.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'med', 3.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'med', 3.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'med', 3.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'med', 3.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'med', 3.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'med', 3.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'med', 3.0, 5.0, 'small', 'high', 'acc']
['vhigh', 'med', 3.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'med', 3.0, 5.0, 'med', 'med', 'acc']
['vhigh', 'med', 3.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'med', 3.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'med', 3.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'med', 3.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'med', 4.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'med', 4.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'med', 4.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'med', 4.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'med', 4.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'med', 4.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'med', 4.0, 4.0, 'med', 'med', 'acc']
['vhigh', 'med', 4.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'med', 4.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'med', 4.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'med', 4.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'med', 4.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'med', 4.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'med', 4.0, 5.0, 'small', 'high', 'acc']
['vhigh', 'med', 4.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'med', 4.0, 5.0, 'med', 'med', 'acc']
['vhigh', 'med', 4.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'med', 4.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'med', 4.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'med', 4.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'med', 5.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'med', 5.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'med', 5.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'med', 5.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'med', 5.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'med', 5.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'med', 5.0, 4.0, 'med', 'med', 'acc']
['vhigh', 'med', 5.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'med', 5.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'med', 5.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'med', 5.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'med', 5.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'med', 5.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'med', 5.0, 5.0, 'small', 'high', 'acc']
['vhigh', 'med', 5.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'med', 5.0, 5.0, 'med', 'med', 'acc']
['vhigh', 'med', 5.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'med', 5.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'med', 5.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'med', 5.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'low', 2.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'low', 2.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'low', 2.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'low', 2.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'low', 2.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'low', 2.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'low', 2.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'small', 'high', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'med', 'med', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'low', 2.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'low', 2.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'low', 2.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'low', 3.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'low', 3.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'small', 'med', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'small', 'high', 'acc']
['vhigh', 'low', 3.0, 4.0, 'med', 'low', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'med', 'med', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'med', 'high', 'acc']
['vhigh', 'low', 3.0, 4.0, 'big', 'low', 'unacc']
['vhigh', 'low', 3.0, 4.0, 'big', 'med', 'acc']
['vhigh', 'low', 3.0, 4.0, 'big', 'high', 'acc']
['vhigh', 'low', 3.0, 5.0, 'small', 'low', 'unacc']
['vhigh', 'low', 3.0, 5.0, 'small', 'med', 'unacc']
['vhigh', 'low', 3.0, 5.0, 'small', 'high', 'acc']
['vhigh', 'low', 3.0, 5.0, 'med', 'low', 'unacc']
['vhigh', 'low', 3.0, 5.0, 'med', 'med', 'acc']
['vhigh', 'low', 3.0, 5.0, 'med', 'high', 'acc']
['vhigh', 'low', 3.0, 5.0, 'big', 'low', 'unacc']
['vhigh', 'low', 3.0, 5.0, 'big', 'med', 'acc']
['vhigh', 'low', 3.0, 5.0, 'big', 'high', 'acc']
['vhigh', 'low', 4.0, 2.0, 'small', 'low', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'small', 'med', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'small', 'high', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'med', 'low', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'med', 'med', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'med', 'high', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'big', 'low', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'big', 'med', 'unacc']
['vhigh', 'low', 4.0, 2.0, 'big', 'high', 'unacc']
['vhigh', 'low', 4.0, 4.0, 'small', 'low', 'unacc']
['vhigh', 'low', 4.0, 4.0, 'small', 'med', 'unacc']
